transaction_id,user_id,newid,diary_newid,survey_source,payee,amount,date,day_of_week,category,family_size,has_children
txn_0000001,user_0001,05685983,05702842,interview,NATIONAL GRID,68.53,2024-01-27,Saturday,Utilities,3,1
txn_0000002,user_0001,05685983,05702842,interview,NATIONAL GRID,311.73,2024-02-17,Saturday,Utilities,3,1
txn_0000003,user_0001,05685983,05702842,interview,NATIONAL GRID,119.04,2024-04-14,Sunday,Utilities,3,1
txn_0000004,user_0001,05685983,05702842,interview,NATIONAL GRID,315.37,2024-04-17,Wednesday,Utilities,3,1
txn_0000005,user_0001,05685983,05702842,interview,NATIONAL GRID,269.12,2024-05-15,Wednesday,Utilities,3,1
txn_0000006,user_0001,05685983,05702842,interview,NATIONAL GRID,84.81,2024-06-24,Monday,Utilities,3,1
txn_0000007,user_0001,05685983,05702842,interview,NATIONAL GRID,106.56,2024-09-15,Sunday,Utilities,3,1
txn_0000008,user_0001,05685983,05702842,interview,NATIONAL GRID,11.84,2024-11-20,Wednesday,Utilities,3,1
txn_0000009,user_0001,05685983,05702842,interview,MINT MOBILE,106.98,2024-02-08,Thursday,Phone & Internet,3,1
txn_0000010,user_0001,05685983,05702842,interview,COMCAST XFINITY,31.74,2024-03-17,Sunday,Phone & Internet,3,1
txn_0000011,user_0001,05685983,05702842,interview,COMCAST XFINITY,201.28,2024-12-19,Thursday,Phone & Internet,3,1
txn_0000012,user_0001,05685983,05702842,interview,VALVOLINE #7592,31.71,2024-01-15,Monday,Transport,3,1
txn_0000013,user_0001,05685983,05702842,interview,VALVOLINE #3085,46.89,2024-01-20,Saturday,Transport,3,1
txn_0000014,user_0001,05685983,05702842,interview,VALVOLINE #7211,96.51,2024-02-05,Monday,Transport,3,1
txn_0000015,user_0001,05685983,05702842,interview,VALVOLINE #3851,87.87,2024-02-05,Monday,Transport,3,1
txn_0000016,user_0001,05685983,05702842,interview,VALVOLINE #5930,93.3,2024-02-25,Sunday,Transport,3,1
txn_0000017,user_0001,05685983,05702842,interview,VALVOLINE #1006,96.51,2024-02-29,Thursday,Transport,3,1
