transaction_id,user_id,newid,diary_newid,survey_source,payee,amount,date,day_of_week,category,family_size,has_children
md_00001,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,3.11,2022-07-25,Monday,Savings,,
md_00002,moneydata_user,MONEYDATA,,moneydata,LIDL GB  NOTTINGHA,15.02,2022-07-25,Monday,Groceries,,
md_00003,moneydata_user,MONEYDATA,,moneydata,NON-GBP PURCH FEE,0.5,2022-07-25,Monday,Other,,
md_00004,moneydata_user,MONEYDATA,,moneydata,NON-GBP TRANS FEE,0.37,2022-07-25,Monday,Other,,
md_00005,moneydata_user,MONEYDATA,,moneydata,AUDIBLE UK,7.99,2022-07-25,Monday,Entertainment,,
md_00006,moneydata_user,MONEYDATA,,moneydata,MISS D WU,25.0,2022-07-25,Monday,Other,,
md_00007,moneydata_user,MONEYDATA,,moneydata,SAINSBURYS S/MKTS,35.57,2022-07-25,Monday,Groceries,,
md_00008,moneydata_user,MONEYDATA,,moneydata,LIDL GB  NOTTINGHA,18.21,2022-07-22,Friday,Groceries,,
md_00009,moneydata_user,MONEYDATA,,moneydata,AMAZON.CO.UK*VK6IN,13.51,2022-07-22,Friday,Household Supplies,,
md_00010,moneydata_user,MONEYDATA,,moneydata,MR J DOME,175.0,2022-07-22,Friday,Other,,
md_00011,moneydata_user,MONEYDATA,,moneydata,MISS D WU,35.0,2022-07-21,Thursday,Other,,
md_00012,moneydata_user,MONEYDATA,,moneydata,TRADING212UK,200.0,2022-07-20,Wednesday,Savings,,
md_00013,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,0.65,2022-07-20,Wednesday,Savings,,
md_00014,moneydata_user,MONEYDATA,,moneydata,THE TERRACE CAFE M,31.35,2022-07-19,Tuesday,Dining Out,,
md_00015,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,1.6,2022-07-19,Tuesday,Savings,,
md_00016,moneydata_user,MONEYDATA,,moneydata,THE CORINTHIAN,7.4,2022-07-18,Monday,Dining Out,,
md_00017,moneydata_user,MONEYDATA,,moneydata,THE CORINTHIAN,4.6,2022-07-18,Monday,Dining Out,,
md_00018,moneydata_user,MONEYDATA,,moneydata,TIGERMILK EVENTS,4.5,2022-07-18,Monday,Entertainment,,
md_00019,moneydata_user,MONEYDATA,,moneydata,UBER   *TRIP,11.9,2022-07-18,Monday,Travel,,
md_00020,moneydata_user,MONEYDATA,,moneydata,VIRGIN MEDIA PYMTS,56.25,2022-07-18,Monday,Utilities,,
md_00021,moneydata_user,MONEYDATA,,moneydata,O2,17.95,2022-07-18,Monday,Clothing,,
md_00022,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,2.4,2022-07-18,Monday,Savings,,
md_00023,moneydata_user,MONEYDATA,,moneydata,LNK COOPERATIVE PL,40.0,2022-07-18,Monday,Other,,
md_00024,moneydata_user,MONEYDATA,,moneydata,COSMIC KITCHEN LIM,75.8,2022-07-18,Monday,Home Improvement,,
md_00025,moneydata_user,MONEYDATA,,moneydata,TESCO STORE 3033,20.0,2022-07-18,Monday,Groceries,,
md_00026,moneydata_user,MONEYDATA,,moneydata,CROWNE PLAZA,10.0,2022-07-18,Monday,Travel,,
md_00027,moneydata_user,MONEYDATA,,moneydata,EAST MIDS RAILWAY,213.0,2022-07-18,Monday,Travel,,
md_00028,moneydata_user,MONEYDATA,,moneydata,AMZNMKTPLACE,26.99,2022-07-18,Monday,Household Supplies,,
