transaction_id,user_id,payee,amount,date,day_of_week,category,family_size,has_children,payee_norm,label
txn_0000001,user_0001,DOMINOS #7548,66.27,04-01-2024,Thursday,Dining Out,3,1,DOMINOS,4
txn_0000002,user_0001,OLIVE GARDEN #9785,17.19,04-01-2024,Thursday,Dining Out,3,1,OLIVE GARDEN,4
txn_0000003,user_0001,PANERA BREAD #1452,16.04,05-01-2024,Friday,Dining Out,3,1,PANERA BREAD,4
txn_0000004,user_0001,STARBUCKS #44237,15.53,09-01-2024,Tuesday,Dining Out,3,1,STARBUCKS,4
txn_0000005,user_0001,CHIPOTLE #5349,42.75,14-01-2024,Sunday,Dining Out,3,1,CHIPOTLE,4
txn_0000006,user_0001,MCDONALDS #24208,25.61,14-01-2024,Sunday,Dining Out,3,1,MCDONALDS,4
txn_0000007,user_0001,PIZZA HUT #8119,45.89,20-01-2024,Saturday,Dining Out,3,1,PIZZA HUT,4
txn_0000008,user_0001,PANERA BREAD #6139,52.77,21-01-2024,Sunday,Dining Out,3,1,PANERA BREAD,4
txn_0000009,user_0001,DOORDASH*VSNUJZ,21.42,23-01-2024,Tuesday,Dining Out,3,1,DOORDASH,4
txn_0000010,user_0001,MCDONALDS #78146,47.69,23-01-2024,Tuesday,Dining Out,3,1,MCDONALDS,4
txn_0000011,user_0001,DUNKIN #80575,25.1,25-01-2024,Thursday,Dining Out,3,1,DUNKIN,4
txn_0000012,user_0001,OLIVE GARDEN #4228,38.8,26-01-2024,Friday,Dining Out,3,1,OLIVE GARDEN,4
txn_0000013,user_0001,PANERA BREAD #8066,64.23,29-01-2024,Monday,Dining Out,3,1,PANERA BREAD,4
txn_0000014,user_0001,STARBUCKS #97062,60.61,29-01-2024,Monday,Dining Out,3,1,STARBUCKS,4
txn_0000015,user_0001,PANERA BREAD #6143,14.63,30-01-2024,Tuesday,Dining Out,3,1,PANERA BREAD,4
txn_0000016,user_0001,OLIVE GARDEN #3041,34.84,31-01-2024,Wednesday,Dining Out,3,1,OLIVE GARDEN,4
txn_0000017,user_0001,APPLEBEES #5920,25.88,01-02-2024,Thursday,Dining Out,3,1,APPLEBEES,4
txn_0000018,user_0001,DOMINOS #6067,9.22,01-02-2024,Thursday,Dining Out,3,1,DOMINOS,4
txn_0000019,user_0001,OLIVE GARDEN #7691,56.04,05-02-2024,Monday,Dining Out,3,1,OLIVE GARDEN,4
txn_0000020,user_0001,PANERA BREAD #7592,47.86,05-02-2024,Monday,Dining Out,3,1,PANERA BREAD,4
txn_0000021,user_0001,APPLEBEES #5844,24.98,05-02-2024,Monday,Dining Out,3,1,APPLEBEES,4
txn_0000022,user_0001,DOMINOS #3085,54.22,09-02-2024,Friday,Dining Out,3,1,DOMINOS,4
txn_0000023,user_0001,CHICK-FIL-A #7888,42.65,12-02-2024,Monday,Dining Out,3,1,CHICK-FIL-A,4
txn_0000024,user_0001,OLIVE GARDEN #7211,35.09,12-02-2024,Monday,Dining Out,3,1,OLIVE GARDEN,4
txn_0000025,user_0001,OLIVE GARDEN #3851,9.59,14-02-2024,Wednesday,Dining Out,3,1,OLIVE GARDEN,4
txn_0000026,user_0001,PIZZA HUT #5930,13.59,14-02-2024,Wednesday,Dining Out,3,1,PIZZA HUT,4
txn_0000027,user_0001,DOORDASH*TAKPUX,62.87,21-02-2024,Wednesday,Dining Out,3,1,DOORDASH,4
txn_0000028,user_0001,UBER EATS*PYS280,64.14,22-02-2024,Thursday,Dining Out,3,1,UBER EATS,4
txn_0000029,user_0001,OLIVE GARDEN #2389,42.28,22-02-2024,Thursday,Dining Out,3,1,OLIVE GARDEN,4
txn_0000030,user_0001,SUBWAY #77561,59.91,22-02-2024,Thursday,Dining Out,3,1,SUBWAY,4
txn_0000031,user_0001,OLIVE GARDEN #6491,44.53,28-02-2024,Wednesday,Dining Out,3,1,OLIVE GARDEN,4
txn_0000032,user_0001,STARBUCKS #40784,18.03,01-03-2024,Friday,Dining Out,3,1,STARBUCKS,4
txn_0000033,user_0001,OLIVE GARDEN #6085,16.77,12-03-2024,Tuesday,Dining Out,3,1,OLIVE GARDEN,4
txn_0000034,user_0001,CHICK-FIL-A #4262,27.8,20-03-2024,Wednesday,Dining Out,3,1,CHICK-FIL-A,4
txn_0000035,user_0001,CHIPOTLE #1400,49.66,23-03-2024,Saturday,Dining Out,3,1,CHIPOTLE,4
txn_0000036,user_0001,MCDONALDS #42092,4.97,25-03-2024,Monday,Dining Out,3,1,MCDONALDS,4
txn_0000037,user_0001,UBER EATS*W1Q5UZ,0.5,26-03-2024,Tuesday,Dining Out,3,1,UBER EATS,4
txn_0000038,user_0001,DOORDASH*RIXA11,0.05,26-03-2024,Tuesday,Dining Out,3,1,DOORDASH,4
txn_0000040,user_0001,SOUTHWEST GAS,129.41,16-01-2024,Tuesday,Utilities,3,1,SOUTHWEST GAS,26
txn_0000041,user_0001,XCEL ENERGY,347.13,18-01-2024,Thursday,Utilities,3,1,XCEL ENERGY,26
txn_0000042,user_0001,AMERICAN WATER,306.88,28-02-2024,Wednesday,Utilities,3,1,AMERICAN WATER,26
txn_0000043,user_0001,SOUTHWEST GAS,220.81,29-02-2024,Thursday,Utilities,3,1,SOUTHWEST GAS,26
txn_0000044,user_0001,CITY WATER DEPT,254.49,08-03-2024,Friday,Utilities,3,1,CITY WATER DEPT,26
txn_0000045,user_0001,DOMINION ENERGY,25.45,12-03-2024,Tuesday,Utilities,3,1,DOMINION ENERGY,26
txn_0000046,user_0001,CITY WATER DEPT,2.83,26-03-2024,Tuesday,Utilities,3,1,CITY WATER DEPT,26
txn_0000047,user_0001,COMCAST XFINITY,110.26,10-01-2024,Wednesday,Phone & Internet,3,1,COMCAST XFINITY,16
txn_0000048,user_0001,SPECTRUM*55076693,58.65,05-02-2024,Monday,Phone & Internet,3,1,SPECTRUM,16
txn_0000049,user_0001,COX COMMUNICATIONS,185.07,05-02-2024,Monday,Phone & Internet,3,1,COX COMMUNICATIONS,16
txn_0000050,user_0001,VERIZON*WIRELESS,111.01,06-02-2024,Tuesday,Phone & Internet,3,1,VERIZON,16
txn_0000051,user_0001,T-MOBILE*AUTO PAY,165.32,26-02-2024,Monday,Phone & Internet,3,1,T-MOBILE PAY,16
txn_0000052,user_0001,T-MOBILE*AUTO PAY,59.12,03-03-2024,Sunday,Phone & Internet,3,1,T-MOBILE PAY,16
txn_0000053,user_0001,COMCAST XFINITY,6.57,07-03-2024,Thursday,Phone & Internet,3,1,COMCAST XFINITY,16
txn_0000054,user_0001,EXXON MOBIL 85694715,57.71,03-01-2024,Wednesday,Transport,3,1,EXXON MOBIL,24
txn_0000055,user_0001,CHEVRON #587623,37.45,03-01-2024,Wednesday,Transport,3,1,CHEVRON,24
txn_0000056,user_0001,SUNOCO #904150,42.83,04-01-2024,Thursday,Transport,3,1,SUNOCO,24
txn_0000057,user_0001,CIRCLE K #31992,60.51,04-01-2024,Thursday,Transport,3,1,CIRCLE K,24
txn_0000058,user_0001,EXXON MOBIL 31980274,53.12,08-01-2024,Monday,Transport,3,1,EXXON MOBIL,24
txn_0000059,user_0001,SUNOCO #213349,65.0,11-01-2024,Thursday,Transport,3,1,SUNOCO,24
txn_0000060,user_0001,SHELL OIL 51870192,29.48,11-01-2024,Thursday,Transport,3,1,SHELL OIL,24
txn_0000061,user_0001,SPEEDWAY #7498,97.29,17-01-2024,Wednesday,Transport,3,1,SPEEDWAY,24
txn_0000062,user_0001,CHEVRON #179688,58.27,18-01-2024,Thursday,Transport,3,1,CHEVRON,24
txn_0000063,user_0001,CHEVRON #206851,91.74,20-01-2024,Saturday,Transport,3,1,CHEVRON,24
txn_0000064,user_0001,SUNOCO #991597,107.25,24-01-2024,Wednesday,Transport,3,1,SUNOCO,24
txn_0000065,user_0001,EXXON MOBIL 85958181,25.72,26-01-2024,Friday,Transport,3,1,EXXON MOBIL,24
txn_0000066,user_0001,SHELL OIL 56600900,101.5,29-01-2024,Monday,Transport,3,1,SHELL OIL,24
txn_0000067,user_0001,SPEEDWAY #7071,74.66,31-01-2024,Wednesday,Transport,3,1,SPEEDWAY,24
txn_0000068,user_0001,EXXON MOBIL 77908907,65.97,01-02-2024,Thursday,Transport,3,1,EXXON MOBIL,24
txn_0000069,user_0001,CIRCLE K #11658,106.96,02-02-2024,Friday,Transport,3,1,CIRCLE K,24
txn_0000070,user_0001,SPEEDWAY #9031,50.28,11-02-2024,Sunday,Transport,3,1,SPEEDWAY,24
txn_0000071,user_0001,EXXON MOBIL 68186525,58.32,12-02-2024,Monday,Transport,3,1,EXXON MOBIL,24
txn_0000072,user_0001,CIRCLE K #93307,102.46,14-02-2024,Wednesday,Transport,3,1,CIRCLE K,24
txn_0000073,user_0001,VALVOLINE #3506,97.54,19-02-2024,Monday,Transport,3,1,VALVOLINE,24
txn_0000074,user_0001,SPEEDWAY #3885,71.36,20-02-2024,Tuesday,Transport,3,1,SPEEDWAY,24
txn_0000075,user_0001,SUNOCO #745830,88.65,23-02-2024,Friday,Transport,3,1,SUNOCO,24
txn_0000076,user_0001,VALVOLINE #8616,94.39,24-02-2024,Saturday,Transport,3,1,VALVOLINE,24
txn_0000077,user_0001,SPEEDWAY #5397,103.01,29-02-2024,Thursday,Transport,3,1,SPEEDWAY,24
txn_0000078,user_0001,CIRCLE K #42177,66.96,01-03-2024,Friday,Transport,3,1,CIRCLE K,24
txn_0000079,user_0001,EXXON MOBIL 47437115,48.02,01-03-2024,Friday,Transport,3,1,EXXON MOBIL,24
txn_0000080,user_0001,VALVOLINE #4995,66.74,11-03-2024,Monday,Transport,3,1,VALVOLINE,24
txn_0000081,user_0001,VALVOLINE #7209,58.22,13-03-2024,Wednesday,Transport,3,1,VALVOLINE,24
txn_0000082,user_0001,CIRCLE K #13761,82.86,16-03-2024,Saturday,Transport,3,1,CIRCLE K,24
txn_0000083,user_0001,VALVOLINE #6325,94.24,20-03-2024,Wednesday,Transport,3,1,VALVOLINE,24
txn_0000084,user_0001,BP #611233,14.84,23-03-2024,Saturday,Transport,3,1,BP,24
txn_0000085,user_0001,CHEVRON #472060,1.48,25-03-2024,Monday,Transport,3,1,CHEVRON,24
txn_0000086,user_0001,SUNOCO #456871,0.15,25-03-2024,Monday,Transport,3,1,SUNOCO,24
txn_0000087,user_0001,SUNOCO #725113,0.01,25-03-2024,Monday,Transport,3,1,SUNOCO,24
txn_0000089,user_0001,HONDA FINANCIAL,116.0,02-01-2024,Tuesday,Vehicle Payment,3,1,HONDA FINANCIAL,28
txn_0000090,user_0001,STATE FARM INS,102.81,03-01-2024,Wednesday,Vehicle Insurance,3,1,STATE FARM INS,27
txn_0000091,user_0001,PROGRESSIVE INS,420.04,01-03-2024,Friday,Vehicle Insurance,3,1,PROGRESSIVE INS,27
txn_0000092,user_0001,GEICO INSURANCE,304.29,03-03-2024,Sunday,Vehicle Insurance,3,1,GEICO INSURANCE,27
txn_0000093,user_0001,ALLSTATE INS,335.57,23-03-2024,Saturday,Vehicle Insurance,3,1,ALLSTATE INS,27
txn_0000094,user_0001,FARMERS INS,37.29,29-03-2024,Friday,Vehicle Insurance,3,1,FARMERS INS,27
txn_0000095,user_0001,URGENT CARE CTR,77.21,17-02-2024,Saturday,Healthcare,3,1,URGENT CARE CTR,9
txn_0000096,user_0001,KAISER PERMANENTE,189.94,01-03-2024,Friday,Healthcare,3,1,KAISER PERMANENTE,9
txn_0000097,user_0001,URGENT CARE CTR,112.85,11-03-2024,Monday,Healthcare,3,1,URGENT CARE CTR,9
txn_0000098,user_0001,AETNA HEALTH,471.81,04-02-2024,Sunday,Health Insurance,3,1,AETNA HEALTH,8
txn_0000099,user_0001,BLUE CROSS BLUE SHIELD,351.52,28-02-2024,Wednesday,Health Insurance,3,1,BLUE CROSS BLUE SHIELD,8
txn_0000100,user_0001,TOPGOLF #126,83.29,05-01-2024,Friday,Entertainment,3,1,TOPGOLF,6
txn_0000101,user_0001,REGAL CINEMAS #4750,41.5,08-01-2024,Monday,Entertainment,3,1,REGAL CINEMAS,6
txn_0000102,user_0001,AMC THEATRES #5415,85.52,08-01-2024,Monday,Entertainment,3,1,AMC THEATRES,6
txn_0000103,user_0001,AMC THEATRES #3870,106.94,10-01-2024,Wednesday,Entertainment,3,1,AMC THEATRES,6
txn_0000104,user_0001,STUBHUB,80.09,10-01-2024,Wednesday,Entertainment,3,1,STUBHUB,6
txn_0000105,user_0001,STUBHUB,28.73,10-01-2024,Wednesday,Entertainment,3,1,STUBHUB,6
txn_0000106,user_0001,TOPGOLF #285,85.08,11-01-2024,Thursday,Entertainment,3,1,TOPGOLF,6
txn_0000107,user_0001,TICKETMASTER,37.48,11-01-2024,Thursday,Entertainment,3,1,TICKETMASTER,6
txn_0000108,user_0001,STUBHUB,69.73,13-01-2024,Saturday,Entertainment,3,1,STUBHUB,6
txn_0000109,user_0001,REGAL CINEMAS #8700,87.3,15-01-2024,Monday,Entertainment,3,1,REGAL CINEMAS,6
txn_0000110,user_0001,LIVE NATION,70.47,16-01-2024,Tuesday,Entertainment,3,1,LIVE NATION,6
txn_0000111,user_0001,TICKETMASTER,109.99,20-01-2024,Saturday,Entertainment,3,1,TICKETMASTER,6
