transaction_id,user_id,newid,diary_newid,survey_source,payee,amount,date,day_of_week,category,family_size,has_children
txn_0000001,user_0001,05431643,05375052,interview,NATIONAL GRID,204.0,2023-07-15,Saturday,Utilities,1,0
txn_0000002,user_0001,05431643,05375052,interview,COX COMMUNICATIONS,163.8,2023-04-13,Thursday,Phone & Internet,1,0
txn_0000003,user_0001,05431643,05375052,interview,GOOGLE FI,18.2,2023-04-24,Monday,Phone & Internet,1,0
txn_0000004,user_0001,05431643,05375052,interview,SUNOCO #910891,46.64,2023-01-13,Friday,Transport,1,0
txn_0000005,user_0001,05431643,05375052,interview,CIRCLE K #94080,87.81,2023-04-09,Sunday,Transport,1,0
txn_0000006,user_0001,05431643,05375052,interview,CIRCLE K #99065,40.12,2023-05-23,Tuesday,Transport,1,0
txn_0000007,user_0001,05431643,05375052,interview,SUNOCO #662262,25.43,2023-12-04,Monday,Transport,1,0
txn_0000008,user_0001,05431643,05375052,interview,CIGNA HEALTH,495.0,2023-06-19,Monday,Health Insurance,1,0
txn_0000009,user_0001,05431643,05375052,interview,HULU,7.48,2023-05-15,Monday,Streaming,1,0
txn_0000010,user_0001,05431643,05375052,interview,HULU,21.52,2023-05-16,Tuesday,Streaming,1,0
txn_0000011,user_0001,05431643,05375052,interview,IKEA #623,209.29,2023-06-10,Saturday,Home Improvement,1,0
txn_0000012,user_0001,05431643,05375052,interview,IKEA #690,168.71,2023-08-12,Saturday,Home Improvement,1,0
txn_0000013,user_0001,05431643,05375052,interview,PRUDENTIAL INS,6.0,2023-04-08,Saturday,Insurance,1,0
txn_0000014,user_0001,05431643,05375052,interview,HABITAT HUMANITY,151.47,2023-08-09,Wednesday,Charitable Giving,1,0
txn_0000015,user_0001,05431643,05375052,interview,HABITAT HUMANITY,9.34,2023-10-03,Tuesday,Charitable Giving,1,0
txn_0000016,user_0001,05431643,05375052,interview,HABITAT HUMANITY,125.27,2023-12-11,Monday,Charitable Giving,1,0
txn_0000017,user_0001,05431643,05375052,interview,HABITAT HUMANITY,13.92,2023-12-18,Monday,Charitable Giving,1,0
txn_0000018,user_0001,05431643,05375052,interview,QUICKEN LOANS,256.0,2023-03-05,Sunday,Rent / Mortgage,1,0
txn_0000019,user_0001,05431643,05375052,interview,CITY TAX OFFICE,250.0,2023-06-08,Thursday,Property Tax,1,0
txn_0000020,user_0001,05431643,05375052,diary,ALDI,70.97,2023-04-18,Tuesday,Groceries,1,0
txn_0000021,user_0001,05431643,05375052,diary,WHOLE FOODS MKT,124.4,2023-04-20,Thursday,Groceries,1,0
txn_0000022,user_0001,05431643,05375052,diary,ALDI,103.84,2023-05-27,Saturday,Groceries,1,0
txn_0000023,user_0001,05431643,05375052,diary,ALDI,51.62,2023-06-05,Monday,Groceries,1,0
txn_0000024,user_0001,05431643,05375052,diary,ALDI,119.75,2023-06-14,Wednesday,Groceries,1,0
txn_0000025,user_0001,05431643,05375052,diary,ALDI,78.6,2023-08-09,Wednesday,Groceries,1,0
txn_0000026,user_0001,05431643,05375052,diary,ALDI,131.73,2023-08-27,Sunday,Groceries,1,0
txn_0000027,user_0001,05431643,05375052,diary,ALDI,49.06,2023-09-19,Tuesday,Groceries,1,0
txn_0000028,user_0001,05431643,05375052,diary,WHOLE FOODS MKT,105.95,2023-10-24,Tuesday,Groceries,1,0
txn_0000029,user_0001,05431643,05375052,diary,ALDI,82.47,2023-11-07,Tuesday,Groceries,1,0
txn_0000030,user_0001,05431643,05375052,diary,ALDI,9.65,2023-12-02,Saturday,Groceries,1,0
txn_0000031,user_0001,05431643,05375052,diary,ALDI,1.07,2023-12-12,Tuesday,Groceries,1,0
txn_0000032,user_0002,05273042,05487262,interview,CON EDISON,98.53,2023-01-13,Friday,Utilities,3,1
txn_0000033,user_0002,05273042,05487262,interview,CON EDISON,181.47,2023-01-24,Tuesday,Utilities,3,1
txn_0000034,user_0002,05273042,05487262,interview,T-MOBILE*AUTO PAY,75.0,2023-02-07,Tuesday,Phone & Internet,3,1
txn_0000035,user_0002,05273042,05487262,interview,SUNOCO #940346,95.44,2023-01-26,Thursday,Transport,3,1
txn_0000036,user_0002,05273042,05487262,interview,SUNOCO #656932,69.36,2023-02-24,Friday,Transport,3,1
txn_0000037,user_0002,05273042,05487262,interview,EXXON MOBIL 89920257,81.34,2023-03-04,Saturday,Transport,3,1
txn_0000038,user_0002,05273042,05487262,interview,SUNOCO #891937,53.25,2023-05-08,Monday,Transport,3,1
txn_0000039,user_0002,05273042,05487262,interview,EXXON MOBIL 92228802,54.57,2023-08-07,Monday,Transport,3,1
txn_0000040,user_0002,05273042,05487262,interview,EXXON MOBIL 77750178,33.4,2023-08-26,Saturday,Transport,3,1
txn_0000041,user_0002,05273042,05487262,interview,SUNOCO #674485,78.76,2023-09-23,Saturday,Transport,3,1
txn_0000042,user_0002,05273042,05487262,interview,SUNOCO #266889,30.49,2023-10-13,Friday,Transport,3,1
txn_0000043,user_0002,05273042,05487262,interview,SUNOCO #597732,3.39,2023-12-23,Saturday,Transport,3,1
txn_0000044,user_0002,05273042,05487262,interview,USAA INSURANCE,285.03,2023-05-01,Monday,Vehicle Insurance,3,1
txn_0000045,user_0002,05273042,05487262,interview,USAA INSURANCE,435.89,2023-05-03,Wednesday,Vehicle Insurance,3,1
txn_0000046,user_0002,05273042,05487262,interview,USAA INSURANCE,377.17,2023-05-21,Sunday,Vehicle Insurance,3,1
txn_0000047,user_0002,05273042,05487262,interview,USAA INSURANCE,37.72,2023-05-27,Saturday,Vehicle Insurance,3,1
txn_0000048,user_0002,05273042,05487262,interview,USAA INSURANCE,4.19,2023-09-24,Sunday,Vehicle Insurance,3,1
txn_0000049,user_0002,05273042,05487262,interview,CIGNA HEALTH,250.0,2023-12-22,Friday,Health Insurance,3,1
txn_0000050,user_0002,05273042,05487262,interview,HULU,9.76,2023-06-19,Monday,Streaming,3,1
txn_0000051,user_0002,05273042,05487262,interview,HULU,14.42,2023-08-27,Sunday,Streaming,3,1
txn_0000052,user_0002,05273042,05487262,interview,NETFLIX.COM,11.82,2023-10-05,Thursday,Streaming,3,1
txn_0000053,user_0002,05273042,05487262,interview,NIKE.COM,20.0,2023-10-27,Friday,Clothing,3,1
txn_0000054,user_0002,05273042,05487262,interview,PRUDENTIAL INS,30.37,2023-01-15,Sunday,Insurance,3,1
txn_0000055,user_0002,05273042,05487262,interview,PRUDENTIAL INS,311.09,2023-03-07,Tuesday,Insurance,3,1
txn_0000056,user_0002,05273042,05487262,interview,PRUDENTIAL INS,211.68,2023-03-26,Sunday,Insurance,3,1
txn_0000057,user_0002,05273042,05487262,interview,PRUDENTIAL INS,179.5,2023-04-23,Sunday,Insurance,3,1
txn_0000058,user_0002,05273042,05487262,interview,TRANSAMERICA,331.33,2023-05-20,Saturday,Insurance,3,1
txn_0000059,user_0002,05273042,05487262,interview,PRUDENTIAL INS,121.35,2023-07-21,Friday,Insurance,3,1
txn_0000060,user_0002,05273042,05487262,interview,PRUDENTIAL INS,151.14,2023-07-27,Thursday,Insurance,3,1
txn_0000061,user_0002,05273042,05487262,interview,PRUDENTIAL INS,314.68,2023-08-12,Saturday,Insurance,3,1
txn_0000062,user_0002,05273042,05487262,interview,PRUDENTIAL INS,187.0,2023-09-06,Wednesday,Insurance,3,1
txn_0000063,user_0002,05273042,05487262,interview,PRUDENTIAL INS,18.7,2023-10-02,Monday,Insurance,3,1
txn_0000064,user_0002,05273042,05487262,interview,TRANSAMERICA,1.87,2023-11-15,Wednesday,Insurance,3,1
txn_0000065,user_0002,05273042,05487262,interview,PRUDENTIAL INS,0.19,2023-12-09,Saturday,Insurance,3,1
txn_0000066,user_0002,05273042,05487262,interview,TRANSAMERICA,0.02,2023-12-14,Thursday,Insurance,3,1
txn_0000067,user_0002,05273042,05487262,interview,WEALTHFRONT,329.8,2023-01-27,Friday,Savings,3,1
txn_0000068,user_0002,05273042,05487262,interview,WEALTHFRONT,500,2023-02-05,Sunday,Savings,3,1
txn_0000069,user_0002,05273042,05487262,interview,BETTERMENT,361.0,2023-04-25,Tuesday,Savings,3,1
txn_0000070,user_0002,05273042,05487262,interview,WEALTHFRONT,196.31,2023-06-29,Thursday,Savings,3,1
txn_0000071,user_0002,05273042,05487262,interview,WEALTHFRONT,21.81,2023-11-29,Wednesday,Savings,3,1
txn_0000072,user_0002,05273042,05487262,interview,LOCAL FOOD BANK,39.63,2023-03-27,Monday,Charitable Giving,3,1
txn_0000073,user_0002,05273042,05487262,interview,HABITAT HUMANITY,34.37,2023-05-12,Friday,Charitable Giving,3,1
txn_0000074,user_0002,05273042,05487262,interview,HABITAT HUMANITY,143.56,2023-07-08,Saturday,Charitable Giving,3,1
txn_0000075,user_0002,05273042,05487262,interview,HABITAT HUMANITY,122.36,2023-11-07,Tuesday,Charitable Giving,3,1
txn_0000076,user_0002,05273042,05487262,interview,HABITAT HUMANITY,52.81,2023-11-07,Tuesday,Charitable Giving,3,1
txn_0000077,user_0002,05273042,05487262,interview,HABITAT HUMANITY,107.27,2023-12-25,Monday,Charitable Giving,3,1
txn_0000078,user_0002,05273042,05487262,interview,WELLS FARGO MTG,191.67,2023-06-09,Friday,Rent / Mortgage,3,1
txn_0000079,user_0002,05273042,05487262,interview,COUNTY TAX PYMNT,191.67,2023-07-12,Wednesday,Property Tax,3,1
txn_0000080,user_0002,05273042,05487262,interview,AMAZON*MISC,91.46,2023-02-22,Wednesday,Other,3,1
txn_0000081,user_0002,05273042,05487262,interview,AMAZON*MISC,14.01,2023-03-03,Friday,Other,3,1
txn_0000082,user_0002,05273042,05487262,interview,AMAZON*MISC,88.5,2023-06-04,Sunday,Other,3,1
txn_0000083,user_0002,05273042,05487262,interview,AMAZON*MISC,27.93,2023-11-04,Saturday,Other,3,1
txn_0000084,user_0002,05273042,05487262,interview,AMAZON*MISC,3.1,2023-12-23,Saturday,Other,3,1
txn_0000085,user_0002,05273042,05487262,diary,KROGER #2496,33.93,2023-01-02,Monday,Groceries,3,1
