transaction_id,user_id,newid,diary_newid,survey_source,payee,amount,date,day_of_week,category,family_size,has_children
txn_0000001,user_0001,05116193,05051841,interview,VALVOLINE #1727,94.26,2022-01-15,Saturday,Transport,3,1
txn_0000002,user_0001,05116193,05051841,interview,VALVOLINE #1027,93.12,2022-01-20,Thursday,Transport,3,1
txn_0000003,user_0001,05116193,05051841,interview,VALVOLINE #9821,39.68,2022-02-25,Friday,Transport,3,1
txn_0000004,user_0001,05116193,05051841,interview,VALVOLINE #4228,89.59,2022-03-01,Tuesday,Transport,3,1
txn_0000005,user_0001,05116193,05051841,interview,VALVOLINE #2146,59.67,2022-03-01,Tuesday,Transport,3,1
txn_0000006,user_0001,05116193,05051841,interview,SPEEDWAY #6409,46.64,2022-04-02,Saturday,Transport,3,1
txn_0000007,user_0001,05116193,05051841,interview,VALVOLINE #3041,87.81,2022-05-14,Saturday,Transport,3,1
txn_0000008,user_0001,05116193,05051841,interview,VALVOLINE #5920,40.12,2022-05-16,Monday,Transport,3,1
txn_0000009,user_0001,05116193,05051841,interview,VALVOLINE #7691,22.99,2022-06-10,Friday,Transport,3,1
txn_0000010,user_0001,05116193,05051841,interview,VALVOLINE #5844,37.22,2022-06-26,Sunday,Transport,3,1
txn_0000011,user_0001,05116193,05051841,interview,VALVOLINE #4143,48.57,2022-07-17,Sunday,Transport,3,1
txn_0000012,user_0001,05116193,05051841,interview,VALVOLINE #7211,93.61,2022-08-11,Thursday,Transport,3,1
txn_0000013,user_0001,05116193,05051841,interview,VALVOLINE #3851,102.22,2022-08-12,Friday,Transport,3,1
txn_0000014,user_0001,05116193,05051841,interview,VALVOLINE #5930,44.45,2022-09-19,Monday,Transport,3,1
txn_0000015,user_0001,05116193,05051841,interview,VALVOLINE #1006,67.55,2022-10-02,Sunday,Transport,3,1
txn_0000016,user_0001,05116193,05051841,interview,VALVOLINE #4443,6.75,2022-10-25,Tuesday,Transport,3,1
txn_0000017,user_0001,05116193,05051841,interview,VALVOLINE #6279,0.68,2022-11-02,Wednesday,Transport,3,1
txn_0000018,user_0001,05116193,05051841,interview,VALVOLINE #8244,0.08,2022-11-07,Monday,Transport,3,1
txn_0000019,user_0001,05116193,05051841,interview,ALLY FINANCIAL,44.0,2022-12-12,Monday,Vehicle Payment,3,1
txn_0000020,user_0001,05116193,05051841,interview,APPLE.COM/BILL,15.78,2022-02-17,Thursday,Streaming,3,1
txn_0000021,user_0001,05116193,05051841,interview,HULU,25.71,2022-06-21,Tuesday,Streaming,3,1
txn_0000022,user_0001,05116193,05051841,interview,HULU,23.27,2022-09-21,Wednesday,Streaming,3,1
txn_0000023,user_0001,05116193,05051841,interview,HULU,8.74,2022-11-14,Monday,Streaming,3,1
txn_0000024,user_0001,05116193,05051841,interview,HULU,6.77,2022-11-21,Monday,Streaming,3,1
txn_0000025,user_0001,05116193,05051841,interview,HULU,9.73,2022-12-06,Tuesday,Streaming,3,1
txn_0000026,user_0001,05116193,05051841,interview,OLD NAVY #4185,52.46,2022-02-07,Monday,Clothing,3,1
txn_0000027,user_0001,05116193,05051841,interview,GAP #7291,87.7,2022-08-01,Monday,Clothing,3,1
txn_0000028,user_0001,05116193,05051841,interview,GAP #4997,59.84,2022-08-22,Monday,Clothing,3,1
txn_0000029,user_0001,05116193,05051841,interview,CHILD TIME #151,288.23,2022-02-24,Thursday,Childcare,3,1
txn_0000030,user_0001,05116193,05051841,interview,CHILD TIME #968,903.89,2022-04-01,Friday,Childcare,3,1
txn_0000031,user_0001,05116193,05051841,interview,CHILD TIME #236,1137.63,2022-04-23,Saturday,Childcare,3,1
txn_0000032,user_0001,05116193,05051841,interview,LA PETITE #783,603.23,2022-08-06,Saturday,Childcare,3,1
txn_0000033,user_0001,05116193,05051841,interview,CHILD TIME #672,67.02,2022-12-23,Friday,Childcare,3,1
txn_0000034,user_0001,05116193,05051841,interview,METLIFE INS,218.12,2022-03-23,Wednesday,Insurance,3,1
txn_0000035,user_0001,05116193,05051841,interview,PRUDENTIAL INS,333.71,2022-05-07,Saturday,Insurance,3,1
txn_0000036,user_0001,05116193,05051841,interview,PRUDENTIAL INS,314.6,2022-05-13,Friday,Insurance,3,1
txn_0000037,user_0001,05116193,05051841,interview,PRUDENTIAL INS,119.24,2022-08-17,Wednesday,Insurance,3,1
txn_0000038,user_0001,05116193,05051841,interview,PRUDENTIAL INS,11.92,2022-08-19,Friday,Insurance,3,1
